,cik_str,ticker,Company
288,1097864,ON,On Semiconductor Corp
289,1671933,TTD,"Trade Desk, Inc."
290,1944048,KVUE,Kenvue Inc.
291,107263,WMB,"Williams Companies, Inc."
292,1682852,MRNA,"Moderna, Inc."
293,1109357,EXC,Exelon Corp
294,1093557,DXCM,Dexcom Inc
295,4904,AEP,American Electric Power Co Inc
296,1471055,BSBR,Banco Santander (Brasil) S.A.
297,1637459,KHC,Kraft Heinz Co
298,1791706,LI,Li Auto Inc.
299,1535527,CRWD,"Crowdstrike Holdings, Inc."
300,895564,BAESY,Bae Systems Plc /Fi/
301,1585689,HLT,Hilton Worldwide Holdings Inc.
302,715957,D,"Dominion Energy, Inc"
303,1385157,TEL,Te Connectivity Ltd.
304,932787,STM,Stmicroelectronics N.V.
305,73309,NUE,Nucor Corp
306,1167379,ALC,Alcon Inc
307,745732,ROST,"Ross Stores, Inc."
308,1478242,IQV,Iqvia Holdings Inc.
309,1297996,DLR,"Digital Realty Trust, Inc."
310,1913510,VFS,Vinfast Auto Ltd.
311,849395,CRH,Crh Public Ltd Co
312,726728,O,Realty Income Corp
313,3570,LNG,"Cheniere Energy, Inc."
314,833444,JCI,Johnson Controls International Plc
315,1060736,SGEN,Seagen Inc.
316,1475260,CVE,Cenovus Energy Inc.
317,882184,DHI,Horton D R Inc /De/
318,1381197,IBKR,"Interactive Brokers Group, Inc."
319,1506307,KMI,"Kinder Morgan, Inc."
320,874716,IDXX,Idexx Laboratories Inc /De
321,40704,GIS,General Mills Inc
322,927628,COF,Capital One Financial Corp
323,92230,TFC,Truist Financial Corp
324,718940,BCE,Bce Inc
325,45012,HAL,Halliburton Co
326,1279967,CRARY,Credit Agricole S A
327,1900304,HLN,Haleon Plc
328,1300514,LVS,Las Vegas Sands Corp
329,86312,TRV,"Travelers Companies, Inc."
330,1045520,CM,Canadian Imperial Bank Of Commerce /Can/
331,1755672,CTVA,"Corteva, Inc."
332,1751788,DOW,Dow Inc.
333,875045,BIIB,Biogen Inc.
334,1071739,CNC,Centene Corp
335,1701605,BKR,Baker Hughes Co
336,948696,HCMLY,Lafargeholcim Ltd/Adr
337,1318220,WCN,"Waste Connections, Inc."
338,1232384,TRP,Tc Energy Corp
339,1691493,NU,Nu Holdings Ltd.
340,1041061,YUM,Yum Brands Inc
341,1058290,CTSH,Cognizant Technology Solutions Corp
342,1140859,COR,"Cencora, Inc."
343,1461748,PPERY,Pt Bank Mandiri (Persero) Tbk / Adr
344,1442145,VRSK,"Verisk Analytics, Inc."
345,820027,AMP,Ameriprise Financial Inc
346,1868275,CEG,Constellation Energy Corp
347,96021,SYY,Sysco Corp
348,1390777,BK,Bank Of New York Mellon Corp
349,1278680,IAU,Ishares Gold Trust
350,1137774,PRU,Prudential Financial Inc
351,1552000,MPLX,Mplx Lp
352,1037868,AME,Ametek Inc/
353,1393052,VEEV,Veeva Systems Inc
354,1086888,MFC,Manulife Financial Corp
355,277135,GWW,"W.W. Grainger, Inc."
356,1666700,DD,"Dupont De Nemours, Inc."
357,49938,IMO,Imperial Oil Ltd
358,1834584,CPNG,"Coupang, Inc."
359,1160106,LYG,Lloyds Banking Group Plc
360,1709048,GFS,Globalfoundries Inc.
361,1321655,PLTR,Palantir Technologies Inc.
362,1090872,A,"Agilent Technologies, Inc."
363,1781335,OTIS,Otis Worldwide Corp
364,1057352,CSGP,"Costar Group, Inc."
365,712515,EA,Electronic Arts Inc.
366,1512673,SQ,"Block, Inc."
367,26172,CMI,Cummins Inc
368,920760,LEN,Lennar Corp /New/
369,1024478,ROK,"Rockwell Automation, Inc"
370,1136893,FIS,"Fidelity National Information Services, Inc."
371,1123360,GPN,Global Payments Inc
372,1090012,DVN,Devon Energy Corp/De
373,56873,KR,Kroger Co
374,1792789,DASH,"Doordash, Inc."
375,1176948,ARES,Ares Management Corp
376,72903,XEL,Xcel Energy Inc
377,1160330,BBD,Bank Bradesco
378,202058,LHX,"L3Harris Technologies, Inc. /De/"
379,1489393,LYB,Lyondellbasell Industries N.V.
380,1376891,EXPGY,Experian Group Ltd
381,1561550,DDOG,"Datadog, Inc."
382,1832433,FERG,Ferguson Plc
383,1705696,VICI,Vici Properties Inc.
384,1047862,ED,Consolidated Edison Inc
385,1116578,PUK,Prudential Plc
386,79879,PPG,Ppg Industries Inc
387,815556,FAST,Fastenal Co
388,1038143,ORAN,Orange
389,1164727,NEM,Newmont Corp /De/
390,14693,BF-B,Brown Forman Corp
391,1012037,CODYY,Compagnie De Saint Gobain
392,1725964,NTR,Nutrien Ltd.
393,889132,PKX,Posco Holdings Inc.
394,788784,PEG,Public Service Enterprise Group Inc
395,1618756,QSR,Restaurant Brands International Inc.
396,1067701,URI,"United Rentals, Inc."
397,1697862,ARGX,Argenx Se
398,1639920,SPOT,Spotify Technology S.A.
399,312069,BCS,Barclays Plc
400,1039684,OKE,Oneok Inc /New/
401,861967,WTKWY,Wolters Kluwer N V /Fi
402,1932393,GEHC,Ge Healthcare Technologies Inc.
403,947484,ACGL,Arch Capital Group Ltd.
404,105770,WST,West Pharmaceutical Services Inc
405,1050915,PWR,"Quanta Services, Inc."
406,1021020,OEZVY,Osterreichische Elektrizitatswirtschafts /Fi
407,1097362,SLF,Sun Life Financial Inc
408,1910139,MBLY,Mobileye Global Inc.
409,1947542,TLGPY,Telstra Group Ltd
410,1650107,CCEP,Coca-Cola Europacific Partners Plc
411,1521332,APTV,Aptiv Plc
412,899051,ALL,Allstate Corp
413,1132924,CHT,Chunghwa Telecom Co Ltd
414,1396009,VMC,Vulcan Materials Co
415,1041130,DIA,Spdr Dow Jones Industrial Average Etf Trust
416,756894,GOLD,Barrick Gold Corp
417,47217,HPQ,Hp Inc
418,1402057,CDW,Cdw Corp
419,1776985,BNTX,Biontech Se
420,1539838,FANG,"Diamondback Energy, Inc."
421,1437107,WBD,"Warner Bros. Discovery, Inc."
422,749251,IT,Gartner Inc
423,850918,GWLIF,Great-West Lifeco Inc.
424,1123799,WIT,Wipro Ltd
425,1433913,BDORY,Banco Do Brasil S.A.
426,1289490,EXR,Extra Space Storage Inc.
427,827052,EIX,Edison International
428,1410636,AWK,"American Water Works Company, Inc."
429,783325,WEC,"Wec Energy Group, Inc."
430,1013462,ANSS,Ansys Inc
431,1456346,FNV,Franco Nevada Corp
432,839923,VOD,Vodafone Group Public Ltd Co
433,1404655,HUBS,Hubspot Inc
434,916076,MLM,Martin Marietta Materials Inc
435,24741,GLW,Corning Inc /Ny
436,1441816,MDB,"Mongodb, Inc."
437,1659166,FTV,Fortive Corp
438,63271,PCRFY,Panasonic Corp
439,1178670,ALNY,"Alnylam Pharmaceuticals, Inc."
440,1492426,HZNP,Horizon Therapeutics Public Ltd Co
441,1699150,IR,Ingersoll Rand Inc.
442,29534,DG,Dollar General Corp
443,1383650,CQP,"Cheniere Energy Partners, L.P."
444,844150,NWG,Natwest Group Plc
445,1446596,FANUY,Fanuc Ltd
446,1334687,CJPRY,Central Japan Railway Co
447,936958,MDY,Spdr S&P Midcap 400 Etf Trust
448,915912,AVB,Avalonbay Communities Inc
449,27904,DAL,"Delta Air Lines, Inc."
450,1136869,ZBH,"Zimmer Biomet Holdings, Inc."
451,1120193,NDAQ,"Nasdaq, Inc."
452,1444406,EC,Ecopetrol S.A.
453,884887,RCL,Royal Caribbean Cruises Ltd
454,935703,DLTR,"Dollar Tree, Inc."
455,1097149,ALGN,Align Technology Inc
456,1037646,MTD,Mettler Toledo International Inc/
457,946581,TTWO,Take Two Interactive Software Inc
458,1041792,ELP,Energy Co Of Parana
459,868675,TU,Telus Corp
460,1113169,TROW,Price T Rowe Group Inc
461,1061574,GIB,Cgi Inc
462,1138118,CBRE,"Cbre Group, Inc."
463,16988,CAJPY,Canon Inc
464,33185,EFX,Equifax Inc
465,814052,TEF,Telefonica S A
466,1110803,ILMN,"Illumina, Inc."
467,1001807,TLK,Perusahaan Perseroan Persero Pt Telekomunikasi Indonesia Tbk
468,1434265,GMAB,Genmab A/S
469,1601046,KEYS,"Keysight Technologies, Inc."
470,906107,EQR,Equity Residential
471,1269238,TCOM,Trip.Com Group Ltd
472,313927,CHD,Church & Dwight Co Inc /De/
473,916365,TSCO,Tractor Supply Co /De/
474,2809,AEM,Agnico Eagle Mines Ltd
475,106535,WY,Weyerhaeuser Co
476,1065088,EBAY,Ebay Inc
477,1713683,ZS,"Zscaler, Inc."
478,1034054,SBAC,Sba Communications Corp
479,1524472,XYL,Xylem Inc.
480,1757898,STE,Steris Plc
481,1280452,MPWR,Monolithic Power Systems Inc
482,93751,STT,State Street Corp
483,1038683,RYAAY,Ryanair Holdings Plc
484,1070304,IX,Orix Corp
485,1451279,SAUHY,Straumann Holding Ag / Adr
486,814547,FICO,Fair Isaac Corp
487,924613,NOK,Nokia Corp
488,1383312,BR,"Broadridge Financial Solutions, Inc."
489,1874178,RIVN,"Rivian Automotive, Inc. / De"
490,72741,ES,Eversource Energy
491,1673358,YUMC,"Yum China Holdings, Inc."
492,720005,RJF,Raymond James Financial Inc
493,721371,CAH,Cardinal Health Inc
494,1393612,DFS,Discover Financial Services
495,874766,HIG,"Hartford Financial Services Group, Inc."
496,1159508,DB,Deutsche Bank Aktiengesellschaft
497,1703399,SE,Sea Ltd
498,936340,DTE,Dte Energy Co
499,886986,TECK,Teck Resources Ltd
500,1060955,ICLR,Icon Plc
501,943819,RMD,Resmed Inc
502,915913,ALB,Albemarle Corp
503,1477333,NET,"Cloudflare, Inc."
504,1645590,HPE,Hewlett Packard Enterprise Co
505,733099,RCI,Rogers Communications Inc
506,63754,MKC,Mccormick & Co Inc
507,1809587,BEKE,Ke Holdings Inc.
508,858470,CTRA,Coterra Energy Inc.
509,1140536,WTW,Willis Towers Watson Plc
510,1651308,BGNE,"Beigene, Ltd."
511,1002910,AEE,Ameren Corp
512,1243429,MT,Arcelormittal
513,1687229,INVH,Invitation Homes Inc.
514,1585521,ZM,"Zoom Video Communications, Inc."
515,40987,GPC,Genuine Parts Co
516,1031296,FE,Firstenergy Corp
517,36270,MTB,M&T Bank Corp
518,79282,BRO,"Brown & Brown, Inc."
519,915191,FRFHF,Fairfax Financial Holdings Ltd/ Can
520,1158838,ATEYY,Advantest Corp
521,1353283,SPLK,Splunk Inc
522,65984,ETR,Entergy Corp /De/
523,1014473,VRSN,Verisign Inc/Ca
524,48465,HRL,Hormel Foods Corp /De/
525,1403568,ULTA,"Ulta Beauty, Inc."
526,1121788,GRMN,Garmin Ltd
527,55067,K,Kellogg Co
528,1175454,FLT,Fleetcor Technologies Inc
529,1446705,NTDTY,Ntt Data Corp
